DATE,y_true,y_diff,MLP_diff,MLP_level,LSTM_diff,LSTM_level,,,
8/1/06,102.1691238,0.021726224,-0.005752129,9.94E+01,-0.017900713,98.18372065,,,
9/1/06,100.5315969,-0.016157441,0.000513636,1.02E+02,-0.016050044,100.5293048,,,
10/1/06,100.5844975,0.000526071,0.002634876,1.01E+02,0.06453228,107.01913,,,
11/1/06,101.0605757,0.004721951,0.004406012,1.01E+02,-0.108492799,89.67180383,,,
12/1/06,103.7706137,0.026462729,0.001976435,1.01E+02,0.052977841,106.4145468,,,
1/1/07,101.5426537,-0.021703882,0.001138864,1.04E+02,0.002164433,103.9952183,,,
2/1/07,104.3812465,0.027571084,0.003239844,1.02E+02,0.008485352,102.4042788,,,
3/1/07,101.7967643,-0.02507171,0.003139973,1.05E+02,-0.003131104,104.0544179,,,
4/1/07,99.86514717,-0.019157571,-0.00242702,1.02E+02,-0.010031064,100.7756344,,,
5/1/07,100.2176261,0.003523335,-0.006128347,9.93E+01,-0.002895427,99.57599488,,,
6/1/07,101.8816304,0.016467571,-0.01032793,9.92E+01,-0.005956804,99.62064935,,,
7/1/07,98.96664451,-0.029028784,-0.001401363,1.02E+02,-0.00565719,101.3052666,,,
8/1/07,99.06110472,0.00095401,-0.006375819,9.83E+01,-0.005422761,98.42997208,,,
9/1/07,100.1325833,0.010758262,-0.004900589,9.86E+01,-0.00159782,98.90282287,,,
10/1/07,100.8044114,0.006686978,0.060065873,1.06E+02,-0.035252381,96.60267129,,,
11/1/07,102.9208255,0.02077789,-0.000720357,1.01E+02,0.058864459,106.7382086,,,
12/1/07,103.7453012,0.00797886,-0.028597612,1.00E+02,0.007135826,103.6552506,,,
1/1/08,101.0650206,-0.02617479,-0.002064713,1.04E+02,-0.017832868,101.895225,,,
2/1/08,100.3261609,-0.007337591,-0.005147704,1.01E+02,-0.026332442,98.40373188,,,
3/1/08,101.4727374,0.011363678,-0.007883261,9.95E+01,0.029069629,103.2426052,,,
4/1/08,101.555706,0.00081731,-0.000251761,1.01E+02,0.000180025,101.491005,,,
5/1/08,101.0806366,-0.004688895,-3.19E-05,1.02E+02,0.000870228,101.6440826,,,
6/1/08,101.0638093,-0.000166488,0.003040908,1.01E+02,0.001707027,101.253184,,,
7/1/08,102.2407615,0.011578346,-0.02597562,9.84E+01,0.001514532,101.2168737,,,
8/1/08,102.284648,0.000429154,-0.000303877,1.02E+02,0.003732449,102.6223699,,,
9/1/08,102.7251411,0.004297296,0.037902165,1.06E+02,0.006375686,102.9367828,,,
10/1/08,101.2786965,-0.0141808,-0.006195141,1.02E+02,-0.000210817,102.7034849,,,
11/1/08,102.5970082,0.012932684,-0.006970173,1.01E+02,-0.005076816,100.7645232,,,
12/1/08,101.582145,-0.009940991,0.007313572,1.03E+02,-0.000564109,102.5391323,,,
1/1/09,102.6606038,0.010560657,-0.000129148,1.02E+02,-0.000291414,101.5525425,,,
2/1/09,102.9520562,0.002834968,-9.77E-05,1.03E+02,-0.000134404,102.6468058,,,
3/1/09,99.75166989,-0.03157961,-7.93E-05,1.03E+02,0.000119608,102.9643701,,,
4/1/09,100.6607394,0.009072051,0.010427458,1.01E+02,-0.005697825,99.18330238,,,
5/1/09,100.3766609,-0.002826128,-0.065376468,9.41E+01,-0.026324406,98.01090523,,,
6/1/09,101.1513884,0.007688571,0.044495374,1.05E+02,0.021568596,102.5416446,,,
7/1/09,101.9403194,0.007769248,-0.001026889,1.01E+02,-0.00380206,100.7668048,,,
8/1/09,100.7041856,-0.012200174,0.000753494,1.02E+02,0.002161678,102.1606815,,,
9/1/09,101.1255491,0.004175442,0.00549246,1.01E+02,0.006859445,101.3949604,,,
10/1/09,101.1432313,0.000174838,0.00139301,1.01E+02,0.000453628,101.1714225,,,
11/1/09,101.9721133,0.008161733,0.001362751,1.01E+02,0.00080106,101.2242531,,,
12/1/09,101.3047781,-0.006565798,-0.000618045,1.02E+02,0.000883027,102.0621574,,,
1/1/10,100.7819898,-0.005173911,-0.000537119,1.01E+02,-0.000197516,101.2847688,,,
2/1/10,102.0938528,0.012932848,-0.001069012,1.01E+02,-0.00034259,100.7474629,,,
3/1/10,101.3632677,-0.007181742,0.001011341,1.02E+02,-5.47E-05,102.0882698,,,
4/1/10,101.9861252,0.006126003,0.060686167,1.08E+02,-0.00151547,101.2096547,,,
5/1/10,104.1750577,0.021235954,-0.01816641,1.00E+02,0.010987999,103.1067487,,,
6/1/10,103.7693954,-0.003901646,-0.023985365,1.02E+02,0.009061863,105.1190778,,,
7/1/10,101.8276055,-0.018889844,-0.000703863,1.04E+02,-0.00302681,103.4553052,,,
8/1/10,103.466514,0.015966783,-0.003966256,1.01E+02,-0.003236441,101.4980464,,,
9/1/10,102.4522285,-0.009851398,-0.002402314,1.03E+02,-0.000809182,103.3827907,,,
10/1/10,100.3659215,-0.020573905,-0.007351933,1.02E+02,-0.002200693,102.2267626,,,
11/1/10,102.1759995,0.01787409,0.005392038,1.01E+02,-0.002826215,100.0822658,,,
12/1/10,103.3155889,0.011091462,-0.004196664,1.02E+02,-0.001129651,102.0605763,,,
1/1/11,100.7513714,-0.025132462,-0.00161119,1.03E+02,-0.009198072,102.3652847,,,
2/1/11,101.3853825,0.006273111,-0.005084994,1.00E+02,0.009435983,101.7020596,,,
3/1/11,102.4819183,0.010757452,0.002637584,1.02E+02,-0.004296512,100.949779,,,
4/1/11,102.2639025,-0.002129625,-0.058644272,9.65E+01,0.000599165,102.5433218,,,
5/1/11,102.9016067,0.006216505,0.037677992,1.06E+02,-0.007776368,101.4686607,,,
6/1/11,102.7248439,-0.001719262,0.031649269,1.06E+02,0.017860187,104.7394486,,,
7/1/11,103.1142537,0.003783638,0.001088374,1.03E+02,0.000293431,102.7549865,,,
8/1/11,101.0180756,-0.020538166,0.000584189,1.03E+02,-0.001468228,102.9628585,,,
9/1/11,103.2380485,0.021738005,-0.003362824,1.01E+02,-0.000515464,100.9660044,,,
10/1/11,103.3188225,0.0007821,-3.71E-05,1.03E+02,6.92E-05,103.2451903,,,
11/1/11,101.8637181,-0.014183749,-0.001259552,1.03E+02,-0.001411895,103.1729472,,,
12/1/11,101.7031569,-0.001577479,-0.000281489,1.02E+02,-0.000235389,101.8397405,,,
1/1/12,99.70584918,-0.019834001,0.002426313,1.02E+02,0.001003502,101.8052162,,,
2/1/12,102.664397,0.029241044,-0.003518622,9.94E+01,-0.009236845,98.78488168,,,
3/1/12,101.9072809,-0.007401998,-0.007442845,1.02E+02,-0.00030181,102.6334119,,,
4/1/12,102.247696,0.003334872,0.009845168,1.03E+02,-0.085472248,93.19703649,,,
5/1/12,103.0116057,0.007443397,0.000951085,1.02E+02,0.064814612,108.8748408,,,
6/1/12,101.1368502,-0.018367107,-0.003857579,1.03E+02,0.027596312,105.8543461,,,
7/1/12,102.5725211,0.01409552,-0.00361061,1.01E+02,-0.001363326,100.9989676,,,
8/1/12,100.8076978,-0.017355352,-0.000992785,1.02E+02,0.000731166,102.6475186,,,
9/1/12,102.2174292,0.013887484,0.001993878,1.01E+02,-0.001977357,100.608365,,,
10/1/12,101.9143738,-0.002969216,-0.000121035,1.02E+02,0.000740801,102.293152,,,
11/1/12,101.9521346,0.000370446,-0.000204446,1.02E+02,0.000684894,101.9841743,,,
12/1/12,101.5176724,-0.004270539,-0.000373288,1.02E+02,-0.002124463,101.7355411,,,
1/1/13,101.0288928,-0.004826352,-7.94E-07,1.02E+02,0.004011689,101.9249297,,,
2/1/13,102.2523717,0.012037446,-0.001224551,1.01E+02,-0.003422874,100.6830837,,,
3/1/13,101.0678863,-0.011651557,-0.002169684,1.02E+02,-0.003983843,101.8450143,,,
4/1/13,99.88027229,-0.011820241,0.010394577,1.02E+02,0.00258125,101.3287678,,,
5/1/13,103.295431,0.033620953,0.007225431,1.01E+02,0.001001332,99.98028557,,,
6/1/13,102.6294907,-0.00646782,-0.012847294,1.02E+02,0.001190131,103.4183662,,,
7/1/13,100.3815683,-0.022146717,0.000497771,1.03E+02,-0.001268498,102.4993054,,,
8/1/13,102.3951528,0.019860768,-0.008140147,9.96E+01,-0.002955406,100.0849,,,
9/1/13,101.311229,-0.010642122,0.002011066,1.03E+02,-0.001407405,102.2510414,,,
10/1/13,101.5922099,0.002769605,-0.000517803,1.01E+02,-0.000260452,101.2848422,,,
11/1/13,101.7064496,0.001123861,-0.000358027,1.02E+02,-0.000783867,101.5125752,,,
12/1/13,100.4953578,-0.011979184,-9.12E-05,1.02E+02,7.72E-05,101.7143061,,,
1/1/14,100.3750397,-0.001197968,-0.003020836,1.00E+02,-0.002592261,100.2348476,,,
2/1/14,100.4012436,0.000261026,-0.009896184,9.94E+01,-0.001356368,100.2388942,,,
3/1/14,100.5117687,0.001100229,0.004633914,1.01E+02,-0.004334478,99.96605665,,,
4/1/14,101.7330685,0.012077585,-0.002500317,1.00E+02,0.004925702,101.0068597,,,
5/1/14,102.7254355,0.009707347,0.015320835,1.03E+02,0.009497191,102.6992468,,,
6/1/14,101.9105099,-0.00796468,0.003902996,1.03E+02,0.002300621,102.9617678,,,
